Identification,Latitude,Longitude,Time of Observation,Ice Accretion On Ship,Thickness of Ice Accretion On Ship,Rate of Ice Accretion on Ship,Sea Level Pressure,Characteristics of Pressure Tendency,Pressure Tendency,Air Temperature,Wet Bulb Temperature,Dew Point Temperature,Sea Surface Temperature,Wave Direction,Wave Period,Wave Height,Swell Direction,Swell Period,Swell Height,Total Cloud Amount,Low Cloud Amount,Low Cloud Type,Cloud Height Indicator,Cloud Height,Middle Cloud Type,High Cloud Type,Visibility,Visibility Indicator,Present Weather,Past Weather,Wind Direction,Wind Speed
CHSV3, 17.8, 295.3,2018-07-01T17:18:00, , , , , , ,29.8, , ,28.4, , , , , , , , , , ,A, , , , , , , 40,4.6
CHSV3, 17.8, 295.3,2018-07-01T17:24:00, , , , , , , , , ,28.4, , , , , , , , , , , , , , , , , , , 
CHSV3, 17.8, 295.3,2018-07-01T17:30:00, , , ,1015.90, , ,29.9, , , , , , , , , , , , , , , , , , , , , 22,4.7
CHSV3, 17.8, 295.3,2018-07-01T17:36:00, , , , , , ,30.0, , ,28.4, , , , , , , , , , ,A, , , , , , , 30,4.1
CHSV3, 17.8, 295.3,2018-07-01T17:42:00, , , , , , ,29.9, , ,28.4, , , , , , , , , , ,A, , , , , , , 30,4.6
CHSV3, 17.8, 295.3,2018-07-01T17:48:00, , , , , , , , , ,28.5, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T17:54:00, , , , , , ,30.5, , ,28.5, , , , , , , , , , ,A, , , , , , , 60,3.1
CHSV3, 17.8, 295.3,2018-07-01T18:00:00, , , ,1015.70, , ,30.3, , , , , , , , , , , , , , , , , , , , , 55,2.3
CHSV3, 17.8, 295.3,2018-07-01T18:06:00, , , , , , ,30.3, , ,28.5, , , , , , , , , , ,A, , , , , , , 60,1.5
CHSV3, 17.8, 295.3,2018-07-01T18:12:00, , , , , , ,30.6, , ,28.5, , , , , , , , , , ,A, , , , , , , 90,3.1
CHSV3, 17.8, 295.3,2018-07-01T18:18:00, , , , , , ,29.8, , ,28.5, , , , , , , , , , ,A, , , , , , , 80,2.6
CHSV3, 17.8, 295.3,2018-07-01T18:24:00, , , , , , ,30.1, , ,28.5, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T18:30:00, , , ,1015.80, , ,29.7, , , , , , , , , , , , , , , , , , , , , 74,2.0
CHSV3, 17.8, 295.3,2018-07-01T18:36:00, , , , , , ,29.7, , ,28.6, , , , , , , , , , ,A, , , , , , , 50,2.6
CHSV3, 17.8, 295.3,2018-07-01T18:42:00, , , , , , ,29.3, , ,28.6, , , , , , , , , , ,A, , , , , , , 50,3.6
CHSV3, 17.8, 295.3,2018-07-01T18:48:00, , , , , , , , , ,28.6, , , , , , , , , , ,A, , , , , , , 50,4.1
